ranking,compass,distance,hypnagogia,complexity,xs_txt,ys_txt,zs_txt,rt_coord,rt_coord_brain,txt_prompt,lakota_prompt
"[0.8599053025245667, 0.8782035112380981, 0.8659058213233948, 0.8685604929924011, 0.8621241450309753, 0.8678038120269775, 0.8562017679214478, 0.864139199256897, 0.864017903804779, 0.8740441203117371]",[30.859652639951385],"[3.2479519844055176, 0.6644392013549805, 2.1018013954162598, 3.5578246116638184, 3.768519878387451, 3.476236343383789, 4.194661617279053, 1.811885118484497, 1.4979958534240723, 2.947681188583374]",[2.379893506402801],[1.2477214517850064],"[16.02557373046875, 15.429803848266602, 14.84497356414795, 16.732608795166016, 14.12647819519043, 17.38605499267578, 15.429104804992676, 14.134870529174805, 16.546783447265625, 13.513870239257812]","[10.402596473693848, 9.843174934387207, 9.843827247619629, 12.923111915588379, 12.625826835632324, 11.340021133422852, 12.51551628112793, 11.072104454040527, 11.423064231872559, 11.307665824890137]","[-4.3884477615356445, -1.6593924760818481, -3.0472347736358643, -3.1896908283233643, -3.553931474685669, -3.9816501140594482, -4.637576103210449, -1.1167271137237549, -1.066544532775879, -2.7718892097473145]","[15.712666511535645, 10.182533264160156, -1.163102149963379]","[15.319478034973145, 10.287510871887207, -4.376054763793945]","Vibrant forest, spiraling candy cane trees, luminous flora, ethereal mist, whimsical fauna, traditional motifs intertwined, pastel hues blending, dream-like atmosphere.","a lakota traditional symbol, with intricated colorful design, on a black backghround, made of the following elements, {\""clouds\"": [0.12560319900512695], \""current\"": [0.14365345239639282], \""sound\"": [0.14813828468322754], \""vastness\"": [0.1495910882949829], \""love\"": [0.14973211288452148]}"
"[0.8599053025245667, 0.8782035112380981, 0.8659058213233948, 0.8685604929924011, 0.8621241450309753, 0.8678038120269775, 0.8562017679214478, 0.864139199256897, 0.864017903804779, 0.8740441203117371]",[29.717866550026947],"[3.2479519844055176, 0.6644392013549805, 2.1018013954162598, 3.5578246116638184, 3.768519878387451, 3.476236343383789, 4.194661617279053, 1.811885118484497, 1.4979958534240723, 2.947681188583374]",[2.2055501825449055],[1.3541116391584098],"[16.02557373046875, 15.429803848266602, 14.84497356414795, 16.732608795166016, 14.12647819519043, 17.38605499267578, 15.429104804992676, 14.134870529174805, 16.546783447265625, 13.513870239257812]","[10.402596473693848, 9.843174934387207, 9.843827247619629, 12.923111915588379, 12.625826835632324, 11.340021133422852, 12.51551628112793, 11.072104454040527, 11.423064231872559, 11.307665824890137]","[-4.3884477615356445, -1.6593924760818481, -3.0472347736358643, -3.1896908283233643, -3.553931474685669, -3.9816501140594482, -4.637576103210449, -1.1167271137237549, -1.066544532775879, -2.7718892097473145]","[15.712666511535645, 10.182533264160156, -1.163102149963379]","[15.319478034973145, 10.287510871887207, -4.376054763793945]","Vibrant forest, spiraling candy cane trees, luminous flora, ethereal mist, whimsical fauna, traditional motifs intertwined, pastel hues blending, dream-like atmosphere.","a lakota traditional symbol, with intricated colorful design, on a black backghround, made of the following elements, {\""clouds\"": [0.12560319900512695], \""current\"": [0.14365345239639282], \""sound\"": [0.14813828468322754], \""vastness\"": [0.1495910882949829], \""love\"": [0.14973211288452148]}"
"[0.8599053025245667, 0.8782035112380981, 0.8659058213233948, 0.8685604929924011, 0.8621241450309753, 0.8678038120269775, 0.8562017679214478, 0.864139199256897, 0.864017903804779, 0.8740441203117371]",[27.666951670331194],"[3.2479519844055176, 0.6644392013549805, 2.1018013954162598, 3.5578246116638184, 3.768519878387451, 3.476236343383789, 4.194661617279053, 1.811885118484497, 1.4979958534240723, 2.947681188583374]",[2.501900758808735],[1.3541116391584098],"[16.02557373046875, 15.429803848266602, 14.84497356414795, 16.732608795166016, 14.12647819519043, 17.38605499267578, 15.429104804992676, 14.134870529174805, 16.546783447265625, 13.513870239257812]","[10.402596473693848, 9.843174934387207, 9.843827247619629, 12.923111915588379, 12.625826835632324, 11.340021133422852, 12.51551628112793, 11.072104454040527, 11.423064231872559, 11.307665824890137]","[-4.3884477615356445, -1.6593924760818481, -3.0472347736358643, -3.1896908283233643, -3.553931474685669, -3.9816501140594482, -4.637576103210449, -1.1167271137237549, -1.066544532775879, -2.7718892097473145]","[15.712666511535645, 10.182533264160156, -1.163102149963379]","[15.319478034973145, 10.287510871887207, -4.376054763793945]","Vibrant forest, spiraling candy cane trees, luminous flora, ethereal mist, whimsical fauna, traditional motifs intertwined, pastel hues blending, dream-like atmosphere.","a lakota traditional symbol, with intricated colorful design, on a black backghround, made of the following elements, {\""clouds\"": [0.12560319900512695], \""current\"": [0.14365345239639282], \""sound\"": [0.14813828468322754], \""vastness\"": [0.1495910882949829], \""love\"": [0.14973211288452148]}"
"[0.8599053025245667, 0.8782035112380981, 0.8659058213233948, 0.8685604929924011, 0.8621241450309753, 0.8678038120269775, 0.8562017679214478, 0.864139199256897, 0.864017903804779, 0.8740441203117371]",[31.548110592077446],"[3.2479519844055176, 0.6644392013549805, 2.1018013954162598, 3.5578246116638184, 3.768519878387451, 3.476236343383789, 4.194661617279053, 1.811885118484497, 1.4979958534240723, 2.947681188583374]",[2.2850374474930675],[1.2349546166983432],"[16.02557373046875, 15.429803848266602, 14.84497356414795, 16.732608795166016, 14.12647819519043, 17.38605499267578, 15.429104804992676, 14.134870529174805, 16.546783447265625, 13.513870239257812]","[10.402596473693848, 9.843174934387207, 9.843827247619629, 12.923111915588379, 12.625826835632324, 11.340021133422852, 12.51551628112793, 11.072104454040527, 11.423064231872559, 11.307665824890137]","[-4.3884477615356445, -1.6593924760818481, -3.0472347736358643, -3.1896908283233643, -3.553931474685669, -3.9816501140594482, -4.637576103210449, -1.1167271137237549, -1.066544532775879, -2.7718892097473145]","[15.712666511535645, 10.182533264160156, -1.163102149963379]","[15.319478034973145, 10.287510871887207, -4.376054763793945]","Vibrant forest, spiraling candy cane trees, luminous flora, ethereal mist, whimsical fauna, traditional motifs intertwined, pastel hues blending, dream-like atmosphere.","a lakota traditional symbol, with intricated colorful design, on a black backghround, made of the following elements, {\""clouds\"": [0.12560319900512695], \""current\"": [0.14365345239639282], \""sound\"": [0.14813828468322754], \""vastness\"": [0.1495910882949829], \""love\"": [0.14973211288452148]}"
"[0.8599053025245667, 0.8782035112380981, 0.8659058213233948, 0.8685604929924011, 0.8621241450309753, 0.8678038120269775, 0.8562017679214478, 0.864139199256897, 0.864017903804779, 0.8740441203117371]",[28.423721193317064],"[3.2479519844055176, 0.6644392013549805, 2.1018013954162598, 3.5578246116638184, 3.768519878387451, 3.476236343383789, 4.194661617279053, 1.811885118484497, 1.4979958534240723, 2.947681188583374]",[2.5859321629917056],[1.2349546166983432],"[16.02557373046875, 15.429803848266602, 14.84497356414795, 16.732608795166016, 14.12647819519043, 17.38605499267578, 15.429104804992676, 14.134870529174805, 16.546783447265625, 13.513870239257812]","[10.402596473693848, 9.843174934387207, 9.843827247619629, 12.923111915588379, 12.625826835632324, 11.340021133422852, 12.51551628112793, 11.072104454040527, 11.423064231872559, 11.307665824890137]","[-4.3884477615356445, -1.6593924760818481, -3.0472347736358643, -3.1896908283233643, -3.553931474685669, -3.9816501140594482, -4.637576103210449, -1.1167271137237549, -1.066544532775879, -2.7718892097473145]","[15.712666511535645, 10.182533264160156, -1.163102149963379]","[15.319478034973145, 10.287510871887207, -4.376054763793945]","Vibrant forest, spiraling candy cane trees, luminous flora, ethereal mist, whimsical fauna, traditional motifs intertwined, pastel hues blending, dream-like atmosphere.","a lakota traditional symbol, with intricated colorful design, on a black backghround, made of the following elements, {\""clouds\"": [0.12560319900512695], \""current\"": [0.14365345239639282], \""sound\"": [0.14813828468322754], \""vastness\"": [0.1495910882949829], \""love\"": [0.14973211288452148]}"
"[0.8599053025245667, 0.8782035112380981, 0.8659058213233948, 0.8685604929924011, 0.8621241450309753, 0.8678038120269775, 0.8562017679214478, 0.864139199256897, 0.864017903804779, 0.8740441203117371]",[28.389123602332873],"[3.2479519844055176, 0.6644392013549805, 2.1018013954162598, 3.5578246116638184, 3.768519878387451, 3.476236343383789, 4.194661617279053, 1.811885118484497, 1.4979958534240723, 2.947681188583374]",[2.4078129778094115],[1.2292452829624978],"[16.02557373046875, 15.429803848266602, 14.84497356414795, 16.732608795166016, 14.12647819519043, 17.38605499267578, 15.429104804992676, 14.134870529174805, 16.546783447265625, 13.513870239257812]","[10.402596473693848, 9.843174934387207, 9.843827247619629, 12.923111915588379, 12.625826835632324, 11.340021133422852, 12.51551628112793, 11.072104454040527, 11.423064231872559, 11.307665824890137]","[-4.3884477615356445, -1.6593924760818481, -3.0472347736358643, -3.1896908283233643, -3.553931474685669, -3.9816501140594482, -4.637576103210449, -1.1167271137237549, -1.066544532775879, -2.7718892097473145]","[15.712666511535645, 10.182533264160156, -1.163102149963379]","[16.97738265991211, 12.602348327636719, -2.3212478160858154]","Vibrant forest, spiraling candy cane trees, luminous flora, ethereal mist, whimsical fauna, traditional motifs intertwined, pastel hues blending, dream-like atmosphere.","a lakota traditional symbol, with intricated colorful design, on a black backghround, made of the following elements, {\""clouds\"": [0.12560319900512695], \""current\"": [0.14365345239639282], \""sound\"": [0.14813828468322754], \""vastness\"": [0.1495910882949829], \""love\"": [0.14973211288452148]}"
"[0.8599053025245667, 0.8782035112380981, 0.8659058213233948, 0.8685604929924011, 0.8621241450309753, 0.8678038120269775, 0.8562017679214478, 0.864139199256897, 0.864017903804779, 0.8740441203117371]",[25.527578804749155],"[3.2479519844055176, 0.6644392013549805, 2.1018013954162598, 3.5578246116638184, 3.768519878387451, 3.476236343383789, 4.194661617279053, 1.811885118484497, 1.4979958534240723, 2.947681188583374]",[2.6106426059258796],[1.2292452829624978],"[16.02557373046875, 15.429803848266602, 14.84497356414795, 16.732608795166016, 14.12647819519043, 17.38605499267578, 15.429104804992676, 14.134870529174805, 16.546783447265625, 13.513870239257812]","[10.402596473693848, 9.843174934387207, 9.843827247619629, 12.923111915588379, 12.625826835632324, 11.340021133422852, 12.51551628112793, 11.072104454040527, 11.423064231872559, 11.307665824890137]","[-4.3884477615356445, -1.6593924760818481, -3.0472347736358643, -3.1896908283233643, -3.553931474685669, -3.9816501140594482, -4.637576103210449, -1.1167271137237549, -1.066544532775879, -2.7718892097473145]","[15.712666511535645, 10.182533264160156, -1.163102149963379]","[16.97738265991211, 12.602348327636719, -2.3212478160858154]","Vibrant forest, spiraling candy cane trees, luminous flora, ethereal mist, whimsical fauna, traditional motifs intertwined, pastel hues blending, dream-like atmosphere.","a lakota traditional symbol, with intricated colorful design, on a black backghround, made of the following elements, {\""clouds\"": [0.12560319900512695], \""current\"": [0.14365345239639282], \""sound\"": [0.14813828468322754], \""vastness\"": [0.1495910882949829], \""love\"": [0.14973211288452148]}"
"[0.8599053025245667, 0.8782035112380981, 0.8659058213233948, 0.8685604929924011, 0.8621241450309753, 0.8678038120269775, 0.8562017679214478, 0.864139199256897, 0.864017903804779, 0.8740441203117371]",[27.045382978562706],"[3.2479519844055176, 0.6644392013549805, 2.1018013954162598, 3.5578246116638184, 3.768519878387451, 3.476236343383789, 4.194661617279053, 1.811885118484497, 1.4979958534240723, 2.947681188583374]",[2.3037956974574603],[0.9992697990042866],"[16.02557373046875, 15.429803848266602, 14.84497356414795, 16.732608795166016, 14.12647819519043, 17.38605499267578, 15.429104804992676, 14.134870529174805, 16.546783447265625, 13.513870239257812]","[10.402596473693848, 9.843174934387207, 9.843827247619629, 12.923111915588379, 12.625826835632324, 11.340021133422852, 12.51551628112793, 11.072104454040527, 11.423064231872559, 11.307665824890137]","[-4.3884477615356445, -1.6593924760818481, -3.0472347736358643, -3.1896908283233643, -3.553931474685669, -3.9816501140594482, -4.637576103210449, -1.1167271137237549, -1.066544532775879, -2.7718892097473145]","[15.712666511535645, 10.182533264160156, -1.163102149963379]","[16.97738265991211, 12.602348327636719, -2.3212478160858154]","Vibrant forest, spiraling candy cane trees, luminous flora, ethereal mist, whimsical fauna, traditional motifs intertwined, pastel hues blending, dream-like atmosphere.","a lakota traditional symbol, with intricated colorful design, on a black backghround, made of the following elements, {\""clouds\"": [0.12560319900512695], \""current\"": [0.14365345239639282], \""sound\"": [0.14813828468322754], \""vastness\"": [0.1495910882949829], \""love\"": [0.14973211288452148]}"
"[0.8599053025245667, 0.8782035112380981, 0.8659058213233948, 0.8685604929924011, 0.8621241450309753, 0.8678038120269775, 0.8562017679214478, 0.864139199256897, 0.864017903804779, 0.8740441203117371]",[25.213836183333772],"[3.2479519844055176, 0.6644392013549805, 2.1018013954162598, 3.5578246116638184, 3.768519878387451, 3.476236343383789, 4.194661617279053, 1.811885118484497, 1.4979958534240723, 2.947681188583374]",[2.3037956974574603],[0.9992697990042866],"[16.02557373046875, 15.429803848266602, 14.84497356414795, 16.732608795166016, 14.12647819519043, 17.38605499267578, 15.429104804992676, 14.134870529174805, 16.546783447265625, 13.513870239257812]","[10.402596473693848, 9.843174934387207, 9.843827247619629, 12.923111915588379, 12.625826835632324, 11.340021133422852, 12.51551628112793, 11.072104454040527, 11.423064231872559, 11.307665824890137]","[-4.3884477615356445, -1.6593924760818481, -3.0472347736358643, -3.1896908283233643, -3.553931474685669, -3.9816501140594482, -4.637576103210449, -1.1167271137237549, -1.066544532775879, -2.7718892097473145]","[15.712666511535645, 10.182533264160156, -1.163102149963379]","[16.97738265991211, 12.602348327636719, -2.3212478160858154]","Vibrant forest, spiraling candy cane trees, luminous flora, ethereal mist, whimsical fauna, traditional motifs intertwined, pastel hues blending, dream-like atmosphere.","a lakota traditional symbol, with intricated colorful design, on a black backghround, made of the following elements, {\""clouds\"": [0.12560319900512695], \""current\"": [0.14365345239639282], \""sound\"": [0.14813828468322754], \""vastness\"": [0.1495910882949829], \""love\"": [0.14973211288452148]}"
"[0.8599053025245667, 0.8782035112380981, 0.8659058213233948, 0.8685604929924011, 0.8621241450309753, 0.8678038120269775, 0.8562017679214478, 0.864139199256897, 0.864017903804779, 0.8740441203117371]",[23.448755661424904],"[3.2479519844055176, 0.6644392013549805, 2.1018013954162598, 3.5578246116638184, 3.768519878387451, 3.476236343383789, 4.194661617279053, 1.811885118484497, 1.4979958534240723, 2.947681188583374]",[2.620641013056774],[0.9992697990042866],"[16.02557373046875, 15.429803848266602, 14.84497356414795, 16.732608795166016, 14.12647819519043, 17.38605499267578, 15.429104804992676, 14.134870529174805, 16.546783447265625, 13.513870239257812]","[10.402596473693848, 9.843174934387207, 9.843827247619629, 12.923111915588379, 12.625826835632324, 11.340021133422852, 12.51551628112793, 11.072104454040527, 11.423064231872559, 11.307665824890137]","[-4.3884477615356445, -1.6593924760818481, -3.0472347736358643, -3.1896908283233643, -3.553931474685669, -3.9816501140594482, -4.637576103210449, -1.1167271137237549, -1.066544532775879, -2.7718892097473145]","[15.712666511535645, 10.182533264160156, -1.163102149963379]","[16.97738265991211, 12.602348327636719, -2.3212478160858154]","Vibrant forest, spiraling candy cane trees, luminous flora, ethereal mist, whimsical fauna, traditional motifs intertwined, pastel hues blending, dream-like atmosphere.","a lakota traditional symbol, with intricated colorful design, on a black backghround, made of the following elements, {\""astral travel\"": [0.24719524383544922], \""stardust in our bones\"": [0.2477375864982605], \""outer space\"": [0.24854618310928345], \""spiritual knowledge\"": [0.2506380081176758], \""transcendence\"": [0.25447314977645874]}"
